product_title,product_vendor,product_type,product_price,day,week,month,quarter,year,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost
YERBA ORANGE,Town and Country Skateboards,,3.500,2024-06-07,2024-W23,2024-06,2024-04,2024,5,17.500,0.000,0.000,17.500,1.400,18.900,11.250
SKATE SESSION,Town and Country Skateboards,,5.000,2024-02-28,2024-W09,2024-02,2024-01,2024,5,25.000,0.000,0.000,25.000,0.000,25.000,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2023-09-20,2023-W38,2023-09,2023-07,2023,5,17.500,0.000,0.000,17.500,1.400,18.900,11.250
SKATE SESSION,Town and Country Skateboards,,10.000,2024-03-29,2024-W13,2024-03,2024-01,2024,4,40.000,0.000,0.000,40.000,0.000,40.000,0.000
Yerba,,,3.000,2023-03-09,2023-W10,2023-03,2023-01,2023,4,12.000,0.000,0.000,12.000,0.960,12.960,0.000
arizona green tea,Town and Country Skateboards,,2.000,2024-04-27,2024-W17,2024-04,2024-04,2024,4,8.000,0.000,0.000,8.000,0.640,8.640,3.600
SKATE SESSION,Town and Country Skateboards,,5.000,2024-03-01,2024-W09,2024-03,2024-01,2024,4,20.000,0.000,0.000,20.000,0.000,20.000,0.000
YERBA REVELBERRY,Town and Country Skateboards,,3.500,2024-05-26,2024-W21,2024-05,2024-04,2024,4,14.000,0.000,0.000,14.000,1.120,15.120,9.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-05-18,2024-W20,2024-05,2024-04,2024,4,40.000,0.000,0.000,40.000,0.000,40.000,0.000
Yerba,,,2.000,2023-07-14,2023-W28,2023-07,2023-07,2023,4,8.000,0.000,0.000,8.000,0.640,8.640,0.000
SKATE SESSION,Town and Country Skateboards,,5.000,2023-02-19,2023-W07,2023-02,2023-01,2023,4,20.000,0.000,0.000,20.000,0.000,20.000,0.000
DICKIES SKATEBOARDING DOUBLE KNEE REGULAR FIT (GRAY),Town and Country Skateboards,,44.990,2023-08-27,2023-W34,2023-08,2023-07,2023,4,179.960,-179.960,0.000,0.000,0.000,0.000,87.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-08-02,2024-W31,2024-08,2024-07,2024,4,40.000,0.000,0.000,40.000,0.000,40.000,0.000
